Latitude,Longitude
49.18866481892388,-122.46379829244714
49.94316050698022,-121.67017162088376
49.95336035019061,-121.66517414728858
49.96330319597156,-121.70808357528935
49.552617835758426,-121.23732969729932
49.555201980174054,-121.19619844234063
49.585505020512294,-121.17899525234932
49.1927951628456,-123.46088303893181
49.21470455884929,-123.50833375249867
49.202415057265355,-123.0523531695635
48.85793254591421,-123.18273023381056
48.83579775597144,-123.17733879743935
49.19822511329199,-122.91033598042695
49.13237267554995,-122.88369672744275
48.83117421977765,-123.1596302081548
48.820464856528304,-123.17547052055093
48.845727753140146,-123.15461230422005
48.83475149401693,-123.17545677050376
49.52491958318289,-121.30588712131714
49.21670062807343,-122.48679757602714
49.97119631612978,-121.69317090446378
49.981396159340164,-121.6881734308686
49.99133900512111,-121.73108285886937
49.58065364490798,-121.26032898087932
49.583237789323604,-121.21919772592065
49.613540829661844,-121.20199453592934
49.223569465153766,-122.84421748249795
49.220830971995156,-123.48388232251182
49.24274036799884,-123.53133303607868
48.88596835506377,-123.20572951739057
48.863833565121,-123.20033808101937
48.85921002892721,-123.1826294917348
48.84850066567786,-123.19846980413095
48.873763562289696,-123.17761158780007
48.862787303166485,-123.19845605408378
49.55295539233244,-121.32888640489716
49.91186961512841,-121.15705642136764
49.9220694583388,-121.15205894777245
49.932012304119745,-121.19496837577321
49.521326943906615,-120.72421449778318
49.52391108832224,-120.6830832428245
49.554214128660476,-120.6658800528332
49.12347495226126,-122.27775310004108
49.1642427641524,-122.3081029994018
49.16150427099379,-122.94776783941569
49.23881037570762,-122.50875348944369
49.17112416541354,-122.53923797004738
49.149331361704,-122.56619224331425
49.17637662353709,-122.56477638321451
49.17038377087734,-122.56323740436295
48.8266416540624,-122.66961503429442
48.80450686411963,-122.66422359792321
49.16693422144017,-122.39722078091083
49.13295774880015,-122.34297892479256
49.101081783698135,-122.37058152792663
49.21606673443037,-122.53852731713874
49.208594883858765,-122.5517810935668
49.18729068125356,-122.53492070771438
49.202866575908416,-122.51183169637241
49.21991913498438,-122.51960546630241
49.21120942248118,-122.52980030075223
49.21031771731347,-122.59714478408279
49.201133764351255,-122.53706614396131
48.79988332792584,-122.64651500863866
48.78917396467649,-122.66235532103481
48.81443686128833,-122.64149710470392
48.80346060216512,-122.66234157098762
49.493628691331075,-120.792771921801
49.24440305029739,-122.55430098931892
50.27582263196295,-119.93058782621982
50.27840677637858,-119.88945657126115
50.30870981671682,-119.87225338126984
49.8779706403176,-121.48412642847774
49.91873845220874,-121.51447632783845
49.915999959050126,-122.15414116785232
49.93790935505382,-122.20159188141918
49.99330606376397,-121.71512681788033
49.92561985346988,-121.74561129848402
49.90382704976034,-121.77256557175089
49.93087231159343,-121.77114971165113
49.92487945893369,-121.76961073279958
49.58113734211874,-121.87598836273106
49.55900255217597,-121.87059692635987
49.92142990949652,-121.60359410934745
49.88745343685649,-121.54935225322919
49.85557747175448,-121.57695485636327
49.970562422486715,-121.74490064557538
49.9630905719151,-121.75815442200346
49.941786369309895,-121.74129403615102
49.95736226396476,-121.71820502480904
49.974414823040725,-121.72597879473904
49.96570511053753,-121.73617362918887
49.96481340536982,-121.80351811251941
49.95562945240759,-121.74343947239797
49.55437901598218,-121.8528883370753
49.54366965273283,-121.86872864947145
49.56893254934467,-121.84787043314057
49.557956290221455,-121.86871489942428
50.24812437938742,-119.99914525023766
49.99889873835373,-121.76067431775556
50.28602247517334,-119.92559035262462
50.28860661958897,-119.88445909766595
50.31890965992721,-119.86725590767466
49.888170483527986,-121.47912895488254
49.92893829541913,-121.50947885424326
49.92619980226051,-122.14914369425713
49.948109198264206,-122.196594407824
50.003505906974354,-121.71012934428515
49.93581969668027,-121.74061382488884
49.914026892970725,-121.76756809815569
49.94107215480382,-121.76615223805595
49.935079302144075,-121.7646132592044
49.591337185329124,-121.87099088913587
49.569202395386355,-121.86559945276467
49.931629752706904,-121.59859663575227
49.897653280066876,-121.544354779634
49.865777314964866,-121.57195738276809
49.9807622656971,-121.73990317198019
49.97329041512549,-121.75315694840826
49.95198621252028,-121.73629656255582
49.96756210717515,-121.71320755121386
49.98461466625111,-121.72098132114385
49.975904953747914,-121.73117615559369
49.975013248580204,-121.79852063892423
49.96582929561798,-121.73844199880277
49.564578859192565,-121.8478908634801
49.55386949594322,-121.86373117587627
49.57913239255506,-121.84287295954537
49.56815613343184,-121.86371742582908
